0.004,0.289027
0.059,0.333009
0.114,0.364425
0.141,0.370708
0.265,0.351858
0.329,0.314159
0.379,0.270177
0.435,0.207345
0.485,0.144513
0.54,0.069115
0.593,-0.006283
0.646,-0.081681
0.701,-0.15708
0.753,-0.219911
0.808,-0.27646
0.861,-0.320442
0.904,-0.345575
0.959,-0.364425
1.02,-0.358142
1.065,-0.345575
1.123,-0.314159
1.177,-0.270177
1.231,-0.213628
1.287,-0.144513
1.338,-0.075398
1.392,0.
1.445,0.075398
1.5,0.150796
1.551,0.213628
1.605,0.270177
1.656,0.314159
1.706,0.345575
1.757,0.364425
1.862,0.351858
1.924,0.320442
1.98,0.27646
2.03,0.226195
2.083,0.163363
2.14,0.087965
2.19,0.01885
2.244,-0.056549
2.299,-0.131947
2.349,-0.194779
2.401,-0.251327
2.458,-0.301593
2.507,-0.333009
2.554,-0.351858
2.592,-0.358142
2.658,-0.345575
2.716,-0.320442
2.777,-0.27646
2.829,-0.226195
2.883,-0.163363
2.937,-0.094248
2.988,-0.025133
3.042,0.050265
3.098,0.125664
3.148,0.188496
3.199,0.245044
3.254,0.29531
3.31,0.333009
3.354,0.351858
3.382,0.358142
3.447,0.351858
3.516,0.326726
3.572,0.289027
3.627,0.238761
3.683,0.175929
3.734,0.113097
3.79,0.037699
3.84,-0.031416
3.896,-0.106814
3.946,-0.169646
4.002,-0.232478
4.057,-0.282743
4.101,-0.314159
4.153,-0.339292
4.175,-0.345575
4.265,-0.339292
4.316,-0.320442
4.375,-0.282743
4.425,-0.238761
4.478,-0.182212
4.535,-0.113097
4.587,-0.043982
4.643,0.031416
4.694,0.100531
4.749,0.169646
4.799,0.226195
4.852,0.27646
4.903,0.314159
4.953,0.339292
5.003,0.351858
5.051,0.345575
5.115,0.326726
5.169,0.29531
5.222,0.251327
5.277,0.194779
5.33,0.131947
5.384,0.062832
5.44,-0.012566
5.492,-0.081681
5.546,-0.150796
5.596,-0.207345
5.647,-0.257611
5.705,-0.301593
5.753,-0.326726
5.794,-0.339292
5.914,-0.320442
5.971,-0.289027
6.026,-0.245044
6.076,-0.194779
6.13,-0.131947
6.185,-0.062832
6.237,0.006283
6.29,0.075398
6.344,0.144513
6.399,0.207345
6.45,0.257611
6.498,0.29531
6.554,0.326726
6.59,0.339292
6.71,0.326726
6.772,0.29531
6.821,0.257611
6.874,0.207345
6.93,0.144513
6.986,0.075398
7.038,0.006283
7.091,-0.062832
7.141,-0.125664
7.196,-0.188496
7.245,-0.238761
7.299,-0.282743
7.353,-0.314159
7.385,-0.326726
7.414,-0.333009
7.506,-0.320442
7.563,-0.29531
7.617,-0.257611
7.672,-0.207345
7.73,-0.144513
7.782,-0.081681
7.835,-0.012566
7.889,0.056549
7.944,0.125664
7.993,0.182212
8.048,0.238761
8.101,0.282743
8.154,0.314159
8.208,0.333009
8.296,0.326726
8.363,0.301593
8.419,0.263894
8.476,0.213628
8.529,0.15708
8.582,0.094248
8.636,0.025133
8.685,-0.037699
8.74,-0.106814
8.794,-0.169646
8.843,-0.219911
8.895,-0.263894
8.953,-0.301593
9.001,-0.320442
9.033,-0.326726
9.115,-0.314159
9.163,-0.29531
9.214,-0.263894
9.273,-0.213628
9.328,-0.15708
9.377,-0.100531
9.433,-0.031416
9.487,0.037699
9.537,0.100531
9.591,0.163363
9.646,0.219911
9.697,0.263894
9.744,0.29531
9.8,0.320442
9.827,0.326726
9.903,0.320442
9.961,0.301593
